VT("/VC") X,VT("/VC") Y
1.389999999999997e-09,0.001528999999999997
1.399999999999997e-09,0.001539999999999997
1.409999999999997e-09,0.001550999999999997
1.419999999999997e-09,0.001561999999999997
1.429999999999997e-09,0.001572999999999997
1.439999999999997e-09,0.001583999999999997
1.449999999999997e-09,0.001594999999999997
1.459999999999997e-09,0.001605999999999997
1.469999999999997e-09,0.001616999999999997
1.479999999999997e-09,0.001627999999999997
1.489999999999997e-09,0.001638999999999997
1.499999999999997e-09,0.001649999999999997
1.509999999999997e-09,0.001660999999999996
1.519999999999997e-09,0.001671999999999997
1.529999999999997e-09,0.001682999999999996
1.539999999999997e-09,0.001693999999999997
1.549999999999997e-09,0.001704999999999996
1.559999999999996e-09,0.001715999999999996
1.569999999999996e-09,0.001726999999999996
1.579999999999996e-09,0.001737999999999996
