(VT("/DIN+") - VT("/DIN-")) X,(VT("/DIN+") - VT("/DIN-")) Y
8.733413938681812e-11,0.1994315511297695
8.845350695768975e-11,0.1990692469162365
8.922675347884487e-11,0.1987672063609663
8.999999999999999e-11,0.1984229402628956
9.106061837882464e-11,0.197882184334115
9.210233129357369e-11,0.1972740796215898
9.320318587320251e-11,0.1965487964703539
9.410159293660124e-11,0.1958941630024824
9.499999999999998e-11,0.1951833523877495
9.596167489031839e-11,0.1943604657821241
9.722401274740077e-11,0.1931834180879404
9.850571942551605e-11,0.191876412707142
9.925285971275801e-11,0.1910628052045886
9.999999999999998e-11,0.1902113032590309
1.012066036683934e-10,0.188756576649906
1.023901875755799e-10,0.1872347378729617
1.037578661640084e-10,0.1853601842393287
1.05e-10,0.1835509251367963
1.067073304764073e-10,0.1809000858209096
1.082841998360118e-10,0.1782853205705684
1.091420999180059e-10,0.176796444132395
1.1e-10,0.1752613360087729
1.111248631012376e-10,0.1731791530472764
1.121311008935382e-10,0.1712505518844034
1.132174926340711e-10,0.1690991828128439
1.142595722705142e-10,0.1669689230689431
1.15e-10,0.1654161148549125
1.159968266350382e-10,0.1632747595292138
1.168921544251977e-10,0.1613022809405382
1.175802926968033e-10,0.1597550035868433
1.185941463581451e-10,0.1574264592515414
1.19422231983182e-10,0.1554818773301492
1.2e-10,0.154102648555158
1.2099675237973e-10,0.1516803633302741
1.218578641470429e-10,0.1495445687080171
1.228350754656461e-10,0.1470731215091763
1.240850351264849e-10,0.14383925218921
1.25e-10,0.1414213562373097
1.261722053189709e-10,0.1382623073939447
1.272647640208784e-10,0.1352570960543638
1.287824156918955e-10,0.1309877110492924
1.3e-10,0.1274847979497382
1.31381667853703e-10,0.1234285963504873
1.327831166156345e-10,0.119228816126528
1.338915583078173e-10,0.1158480313059029
1.35e-10,0.1124166755704263
1.361876560547917e-10,0.1086856805190892
1.373980584117735e-10,0.1048271985829341
1.386310074814618e-10,0.1008407564840086
1.393155037407309e-10,0.09860395299755731
1.4e-10,0.09635073482034301
1.408746556666801e-10,0.09344826011781898
1.417126536949933e-10,0.09064359471512629
1.4260582520938e-10,0.08762938957989408
1.436283292461907e-10,0.08414828125063983
1.443141646230953e-10,0.08179576466151284
1.45e-10,0.07942957812695611
1.460699500227942e-10,0.07571180531982535
1.469427975255867e-10,0.07265603068615056
1.47969036976656e-10,0.06903814927199975
1.48984518488328e-10,0.0654327607359671
1.5e-10,0.06180339887498948
1.510255556028106e-10,0.05811505472578055
1.518601072127732e-10,0.05509755413123862
1.532042740622461e-10,0.05020908616983633
1.541474923806847e-10,0.04675935782522722
1.55e-10,0.04362864827930846
1.561566790134316e-10,0.03936305572401833
1.573852194053087e-10,0.03481200850800215
1.586390526461339e-10,0.03014803477358696
1.59319526323067e-10,0.02760961191121103
1.6e-10,0.02506664671286063
1.610708171877326e-10,0.02105675897261644
1.620194404233646e-10,0.01749723282528182
1.629778450199897e-10,0.01389532683400918
1.639889225099949e-10,0.01009057182390188
1.650000000000001e-10,0.006282151815625525
1.661059600179956e-10,0.002113774912128774
1.67153947668614e-10,-0.001836980269480204
1.683567122813662e-10,-0.006370244270368808
1.691783561406831e-10,-0.009465309270402456
1.700000000000001e-10,-0.01255810390586287
1.709156481119817e-10,-0.0160011629262819
1.718535552775883e-10,-0.01952297105699391
1.728983480748916e-10,-0.02343889731616322
1.739398141170084e-10,-0.02733330927651906
