(VT("/DIN+") - VT("/DIN-")) X,(VT("/DIN+") - VT("/DIN-")) Y
1.662547146806991e-10,0.001553006792254508
1.678024307135385e-10,-0.004281402516198629
1.69355703300563e-10,-0.01013308901379051
1.707393769361812e-10,-0.01533867935127664
1.719937550467974e-10,-0.02004891878010268
1.732618712749807e-10,-0.02479934278286094
1.745473400341461e-10,-0.02960029641316186
1.758517500114033e-10,-0.03445421337503873
1.772380704186169e-10,-0.03959003387971166
1.785964610757163e-10,-0.04459618609054389
1.802433101225004e-10,-0.05062589144347407
1.81452327203472e-10,-0.05502181149549562
1.827827385291519e-10,-0.05982600400309579
1.841077074332689e-10,-0.06457315626729482
1.856294667423085e-10,-0.06997550467285341
1.86949833976334e-10,-0.0746164079596589
1.884399250218907e-10,-0.0797982091729339
1.902702107672747e-10,-0.08607647047381356
1.920280376008248e-10,-0.09200983465327583
1.937052980240863e-10,-0.09757717843490393
1.954137804514923e-10,-0.103147857753906
1.969861096231566e-10,-0.1081802102436915
1.987114562934686e-10,-0.1135928052546114
2.001684084512665e-10,-0.1180700899636298
2.016428197041046e-10,-0.1225103626777813
2.028162793206953e-10,-0.1259768457677239
2.036997271705016e-10,-0.1285460376683443
2.052236157984051e-10,-0.1328935486673939
2.063957487873741e-10,-0.136163117097853
2.07474130390797e-10,-0.1391125066955677
2.086306439690547e-10,-0.1422116811117213
2.100034497900301e-10,-0.1458026279863438
2.111619327501703e-10,-0.1487570976617441
2.123858622025841e-10,-0.1518013907804037
2.136371121923473e-10,-0.1548301084669497
2.149711102162766e-10,-0.1579642261635326
2.162926021360914e-10,-0.1609704947402908
2.175079482532408e-10,-0.1636471712259198
2.189078755921787e-10,-0.1666238482353629
2.202841331562627e-10,-0.1694371149521363
2.219062084716817e-10,-0.172606339527738
2.231972079286037e-10,-0.1750135326514457
2.241770328148632e-10,-0.1767714090869308
2.252810205500924e-10,-0.1786797702401892
2.264742647276085e-10,-0.180655387068311
2.275299273479951e-10,-0.1823270547883631
2.283847625416133e-10,-0.1836278393187634
2.291049914670057e-10,-0.1846868039234644
2.301521565373524e-10,-0.1861656944297829
2.309473830899863e-10,-0.187240352869231
2.320258117964485e-10,-0.1886304709188158
2.32982838680723e-10,-0.1897988404944853
2.341023783021203e-10,-0.1910871985890756
2.352003690245123e-10,-0.1922681092711511
2.362925220250155e-10,-0.1933610425787919
2.375947467408214e-10,-0.1945570574940505
2.388428068637793e-10,-0.1955933268610515
2.401462129943212e-10,-0.1965599903434528
2.412615575369691e-10,-0.197293000520278
2.425103709642963e-10,-0.1980102366618626
2.438197626661925e-10,-0.1986444318839746
2.450270598060796e-10,-0.1991219672965379
2.461106830769024e-10,-0.199462777257513
2.472661512043076e-10,-0.1997345057505001
2.482007598690118e-10,-0.199884989133258
2.491153406634988e-10,-0.1999721936289911
2.503001396254732e-10,-0.1999967992794345
2.514729685999576e-10,-0.1999229165179704
2.527941830771729e-10,-0.1997226606047389
2.542159519654483e-10,-0.1993688029154985
2.557768968256725e-10,-0.1988154257425831
2.573718676289862e-10,-0.1980722159695701
2.591359482753741e-10,-0.1970417425555426
2.608310226988635e-10,-0.1958463283957554
2.624466473304985e-10,-0.1945208397205513
2.638134052162663e-10,-0.1932586209779281
2.654879567269444e-10,-0.1915374013753679
2.670511286534446e-10,-0.1897584270500068
2.68389203444154e-10,-0.1881047026582898
2.695647052402676e-10,-0.1865531315229052
2.706910831920946e-10,-0.1849804638165786
2.719330301752486e-10,-0.1831498105558584
2.730900596257492e-10,-0.1813539973005308
2.742295381469185e-10,-0.1795011147155561
2.754620597769816e-10,-0.1774037388320717
2.764985271561468e-10,-0.1755658249580983
2.775093590448178e-10,-0.1737088190312683
2.78709913603885e-10,-0.1714214015269748
2.806025543666699e-10,-0.1676375479042314
2.824119686728436e-10,-0.1638205452810506
2.841254384647458e-10,-0.160030204702116
2.863505666236743e-10,-0.1548595070660093
2.887758935653542e-10,-0.1489136655681063
2.914007068547696e-10,-0.1421285531272809
2.9402930729062e-10,-0.1349850562308945
2.96407157730653e-10,-0.1282370825783675
2.981484030838086e-10,-0.1231315377185547
2.995158638048421e-10,-0.1190287126970431
3.009685459660492e-10,-0.1145836340218309
3.022129745881192e-10,-0.1107073460997008
3.034870908995725e-10,-0.106675492909055
3.048634138971881e-10,-0.1022511563550701
3.059854131349755e-10,-0.09859331702035878
3.072997322385929e-10,-0.09425253014578333
3.085218716512096e-10,-0.09016422476934394
3.101726035475084e-10,-0.08456663765048517
3.114630871757766e-10,-0.08013334677794509
3.126752402786821e-10,-0.07592591799300646
3.1387684737634e-10,-0.07171596834998017
3.148435179230306e-10,-0.06830233624068022
3.156499681239385e-10,-0.0654370963238366
3.168580397666768e-10,-0.06111684940770196
3.177925229498446e-10,-0.05775314169100798
3.190764650099723e-10,-0.05310253345768196
3.205269541546158e-10,-0.04781139688005381
3.220574629445783e-10,-0.04218969136622613
3.240798545148799e-10,-0.03470817464445436
3.262882023897744e-10,-0.0264815230092495
3.281346235411684e-10,-0.01956732254570737
3.294762043173813e-10,-0.01452822645040069
3.312178373974641e-10,-0.007973118376978894
3.327652119055715e-10,-0.002141726388779075
3.342329131628997e-10,0.00339117354508045
3.346589959529092e-10,0.004997110259229665
3.355111615329281e-10,0.008207913115094778
3.365651111608012e-10,0.01217598136990627
3.376715049827348e-10,0.01633630145405585
3.388281533653967e-10,0.02067796578200148
3.403066321001723e-10,0.0262130821973483
