VT("/VOUT") X,VT("/VOUT") Y
1.399999999999997e-09,0.2780878648201498
1.409999999999997e-09,0.2779637246553878
1.419999999999997e-09,0.2778822268037116
1.429999999999997e-09,0.2778473272071508
1.439999999999997e-09,0.2778627443229603
1.449999999999997e-09,0.2779318640715032
1.459999999999997e-09,0.2780577948487756
1.469999999999997e-09,0.2782434252574542
1.479999999999997e-09,0.2784914255665367
1.489999999999997e-09,0.2788042297485022
1.499999999999997e-09,0.2791858920208349
1.509999999999997e-09,0.2796320026338306
1.519999999999997e-09,0.2801468221917954
1.529999999999997e-09,0.2807364933480461
1.539999999999997e-09,0.2814024350692595
1.549999999999997e-09,0.2821465742635015
1.559999999999996e-09,0.282969640893408
1.569999999999996e-09,0.2838732325315523
1.579999999999996e-09,0.284856434441599
1.589999999999996e-09,0.2859205773144893
