VT("/CLK") X,VT("/CLK") Y
1.408746556666801e-10,1.101852969643135
1.417126536949933e-10,1.103223389336302
1.4260582520938e-10,1.104820272695983
1.436283292461907e-10,1.106800032392745
1.443141646230953e-10,1.10817114019892
1.45e-10,1.10955636556667
1.460699500227942e-10,1.111594108578922
1.469427975255867e-10,1.113117181478039
1.47969036976656e-10,1.114820151843695
1.48984518488328e-10,1.11641715955995
1.5e-10,1.117889244046691
1.510255556028106e-10,1.119316113182387
1.518601072127732e-10,1.12042194919426
1.532042740622461e-10,1.121653599208601
1.541474923806847e-10,1.121717230239126
1.55e-10,1.120644762293437
1.561566790134316e-10,1.116287526678721
1.573852194053087e-10,1.105569877970406
1.586390526461339e-10,1.085478448455532
1.59319526323067e-10,1.065438243836305
1.6e-10,1.034251262706844
1.610708171877326e-10,0.9655425165031588
